"rules"	"support"	"confidence"	"lift"
"{Master_mpagominimo=[ 15155, 30309)} => {clase=BAJA+2}"	0.00012352732269969	0.0385232744783307	12.1307106565971
"{Visa_mpagominimo=[ 22376, 44752)} => {clase=BAJA+2}"	0.000149262181595458	0.0350665054413543	11.0421981777881
"{Master_Finiciomora=[20159969,20160429]} => {clase=BAJA+2}"	0.000447786544786375	0.0785198555956679	24.7253553060401
"{Master_marca_atraso=1} => {clase=BAJA+2}"	0.000447786544786375	0.0784490532010821	24.7030601254214
"{Visa_Finiciomora=[20159960,20160421]} => {clase=BAJA+2}"	0.000741163936198138	0.111196911196911	35.015132381745
"{Visa_marca_atraso=1} => {clase=BAJA+2}"	0.000741163936198138	0.111111111111111	34.988114532685
"{marketing_coss_selling=5} => {clase=BAJA+2}"	0.000236760701841072	0.0312712440516655	9.84709681613297
"{mdescubierto_preacordado=0} => {clase=BAJA+2}"	0.000607342669940141	0.0371185907518087	11.6883855406453
"{ttarjeta_visa=0} => {clase=BAJA+2}"	0.000972777666260056	0.0411944202266783	12.9718358369872
"{Master_Finiciomora=[20159969,20160429],Master_mpagominimo=[ 15155, 30309)} => {clase=BAJA+2}"	0.000102939435583075	0.178571428571429	56.230898356101
"{Master_marca_atraso=1,Master_mpagominimo=[ 15155, 30309)} => {clase=BAJA+2}"	0.000102939435583075	0.178571428571429	56.230898356101
"{mcuenta_corriente_Paquete=[-290698,  -1560),Master_mpagominimo=[ 15155, 30309)} => {clase=BAJA+2}"	0.000113233379141382	0.0582010582010582	18.3271076123588
"{Master_tconsumos=[  0.0,  5.6),Master_mpagominimo=[ 15155, 30309)} => {clase=BAJA+2}"	0.000108086407362228	0.0734265734265734	23.121516247124
"{Master_mpagospesos=[ -20600,    193],Master_mpagominimo=[ 15155, 30309)} => {clase=BAJA+2}"	0.00012352732269969	0.0530973451327434	16.7199839359734
"{Master_mconsumosdolares=[    0,  853),Master_mpagominimo=[ 15155, 30309)} => {clase=BAJA+2}"	0.000118380350920536	0.0425138632162662	13.3873192389386
"{Master_mpagosdolares=[    0,  639),Master_mpagominimo=[ 15155, 30309)} => {clase=BAJA+2}"	0.00012352732269969	0.0391517128874388	12.3286015319086
"{Master_madelantopesos=[    0, 1150),Master_mpagominimo=[ 15155, 30309)} => {clase=BAJA+2}"	0.000118380350920536	0.0558252427184466	17.5789798744316
"{Master_tadelantosefectivo=[ 0.0, 1.8),Master_mpagominimo=[ 15155, 30309)} => {clase=BAJA+2}"	0.000118380350920536	0.0547619047619048	17.2441421625376
"{Master_madelantodolares=[   0.0,  59.5),Master_mpagominimo=[ 15155, 30309)} => {clase=BAJA+2}"	0.00012352732269969	0.0396694214876033	12.4916243620826
"{ttarjeta_debito=1,Master_mpagominimo=[ 15155, 30309)} => {clase=BAJA+2}"	0.000102939435583075	0.0477326968973747	15.0306935939936
"{ctarjeta_debito_transacciones=[  0.00,  5.35),Master_mpagominimo=[ 15155, 30309)} => {clase=BAJA+2}"	0.00012352732269969	0.0469667318982387	14.7894965539334
